Legislation Number,Number of Cosponsors
H.R. 1858,17
H.R. 1850,14
H.R. 1733,14
H.R. 1725,8
H.R. 1719,21
H.R. 1679,1
H.R. 1660,19
H.R. 1625,40
H.R. 1616,18
H.R. 1551,32
H.R. 1545,11
H.R. 1496,72
H.R. 1417,1
H.R. 1397,0
H.R. 1370,8
H.R. 1362,5
H.R. 1329,12
H.R. 1318,192
H.R. 1306,1
H.R. 1301,0
H.R. 1242,53
H.R. 1238,2
H.R. 1235,291
H.R. 1228,1
H.R. 1222,28
H.R. 1211,35
H.R. 1210,35
H.R. 1209,35
H.R. 1208,35
H.R. 1207,35
H.R. 1177,0
H.R. 1162,56
H.R. 1117,0
H.R. 1109,8
H.R. 1074,3
H.R. 1037,16
H.R. 984,5
H.R. 954,0
H.R. 951,0
H.R. 931,188
H.R. 873,159
H.R. 863,0
H.R. 770,31
H.R. 767,11
H.R. 754,291
H.R. 699,1
H.R. 698,2
H.R. 672,34
H.R. 657,11
H.R. 624,33
H.R. 609,17
H.R. 606,51
H.R. 601,9
H.R. 589,20
H.R. 582,29
H.R. 560,1
H.R. 535,81
H.R. 534,10
H.R. 518,3
H.R. 510,24
H.R. 452,8
H.R. 447,0
H.R. 446,0
H.R. 390,47
H.R. 381,45
H.R. 375,8
H.R. 374,5
H.R. 366,2
H.R. 353,6
H.R. 339,0
H.R. 321,68
H.R. 315,8
H.R. 304,25
H.R. 302,39
H.R. 294,35
H.R. 274,10
H.R. 267,30
H.R. 255,44
H.R. 244,28
H.R. 228,0
H.R. 220,0
H.R. 219,1
H.R. 195,0
H.R. 194,1
H.R. 72,0
H.R. 46,2
H.R. 39,0
H.R. 6,16
H.R. 2,0
H.R. 1,24
H.J.Res. 143,0
H.J.Res. 123,0
H.J.Res. 111,34
H.J.Res. 99,0
H.J.Res. 83,11
H.J.Res. 76,8
H.J.Res. 69,2
H.J.Res. 67,7
H.J.Res. 66,7
H.J.Res. 58,13
H.J.Res. 57,13
H.J.Res. 44,16
H.J.Res. 43,147
H.J.Res. 42,35
H.J.Res. 41,33
H.J.Res. 40,120
H.J.Res. 38,71
H.J.Res. 37,17
S. 3777,10
S. 3749,3
S. 3661,5
S. 3628,4
S. 3554,2
S. 3530,23
S. 3509,1
S. 3508,3
S. 3479,1
S. 3456,1
S. 3444,1
S. 3442,1
S. 3414,1
S. 3389,1
S. 3367,0
S. 3354,9
S. 3247,12
S. 3237,1
S. 3209,1
S. 3191,3
S. 3170,12
S. 3119,5
S. 3031,5
S. 3029,12
S. 3021,1
S. 2961,21
S. 2946,11
S. 2896,5
S. 2850,1
S. 2779,1
S. 2765,1
S. 2736,11
S. 2734,1
S. 2692,1
S. 2679,5
S. 2652,73
S. 2559,13
S. 2554,25
S. 2553,15
S. 2511,1
S. 2465,6
S. 2377,1
S. 2372,10
S. 2278,17
S. 2276,8
S. 2273,1
S. 2269,13
S. 2248,2
S. 2246,1
S. 2245,7
S. 2200,2
S. 2155,26
S. 2152,26
S. 2101,70
S. 2076,57
S. 2074,1
S. 2040,1
S. 2030,3
S. 1869,4
S. 1866,0
S. 1862,4
S. 1768,9
S. 1766,17
S. 1668,0
S. 1617,6
S. 1616,99
S. 1595,39
S. 1580,18
S. 1536,6
S. 1532,6
S. 1520,18
S. 1438,1
S. 1393,11
S. 1312,26
S. 1311,31
S. 1285,1
S. 1282,1
S. 1266,3
S. 1182,76
S. 1158,34
S. 1141,4
S. 1094,39
S. 1091,16
S. 1083,2
S. 1050,68
S. 1023,9
S. 994,3
S. 943,4
S. 931,1
S. 920,2
S. 899,3
S. 831,1
S. 825,1
S. 810,1
S. 791,1
S. 782,14
S. 772,6
S. 770,9
S. 756,21
S. 717,11
S. 652,14
S. 585,1
S. 583,23
S. 544,21
S. 534,29
S. 512,18
S. 504,3
S. 496,3
S. 490,2
S. 447,21
S. 442,7
S. 440,1
S. 419,16
S. 371,0
S. 327,2
S. 324,36
S. 305,1
S. 292,55
S. 245,7
S. 204,46
S. 190,1
S. 188,7
S. 178,15
S. 167,4
S. 140,1
S. 139,12
S. 117,1
S. 114,3
S. 97,7
S. 96,8
S. 84,0
S. 35,2
S. 7,0
S.J.Res. 60,2
S.J.Res. 57,24
S.J.Res. 49,56
S.J.Res. 36,2
S.J.Res. 35,2
S.J.Res. 34,24
S.J.Res. 30,2
S.J.Res. 1,24
H.R. 6477,3
H.R. 6452,2
H.R. 6451,1
H.R. 6450,2
H.R. 6431,23
H.R. 6416,5
H.R. 6400,0
H.R. 6323,51
H.R. 6304,8
H.R. 6302,0
H.R. 6297,10
H.R. 6282,26
H.R. 6138,52
H.R. 6130,7
H.R. 6014,0
H.R. 6007,1
H.R. 5995,1
H.R. 5985,0
H.R. 5948,52
H.R. 5946,12
H.R. 5944,2
H.R. 5937,0
H.R. 5936,1
H.R. 5889,0
H.R. 5883,12
H.R. 5877,2
H.R. 5873,0
H.R. 5798,17
H.R. 5790,12
H.R. 5785,8
H.R. 5722,45
H.R. 5687,0
H.R. 5676,17
H.R. 5612,13
H.R. 5591,35
H.R. 5588,1
H.R. 5578,40
H.R. 5509,8
H.R. 5392,26
H.R. 5356,35
H.R. 5325,0
H.R. 5309,3
H.R. 5252,0
H.R. 5150,26
H.R. 5147,28
H.R. 5111,9
H.R. 5099,4
H.R. 5065,2
H.R. 5028,13
H.R. 5015,33
H.R. 4987,26
H.R. 4975,2
H.R. 4960,19
H.R. 4957,12
H.R. 4939,9
H.R. 4925,25
H.R. 4923,61
H.R. 4904,28
H.R. 4902,5
H.R. 4887,8
H.R. 4877,35
H.R. 4875,4
H.R. 4777,6
H.R. 4761,52
H.R. 4747,13
H.R. 4721,1
H.R. 4680,1
H.R. 4665,25
H.R. 4618,0
H.R. 4605,3
H.R. 4511,7
H.R. 4465,7
H.R. 4437,1
H.R. 4425,7
H.R. 4419,0
H.R. 4372,26
H.R. 4352,228
H.R. 4336,191
H.R. 4246,3
H.R. 4238,76
H.R. 4188,3
H.R. 4056,0
H.R. 4046,7
H.R. 4010,8
H.R. 3996,3
H.R. 3969,2
H.R. 3953,26
H.R. 3937,12
H.R. 3931,6
H.R. 3866,11
H.R. 3842,5
H.R. 3831,5
H.R. 3819,2
H.R. 3784,9
H.R. 3766,23
H.R. 3735,12
H.R. 3700,11
H.R. 3614,1
H.R. 3601,1
H.R. 3594,17
H.R. 3471,51
H.R. 3274,13
H.R. 3262,0
H.R. 3236,2
H.R. 3218,50
H.R. 3209,30
H.R. 3116,0
H.R. 3114,6
H.R. 3082,5
H.R. 3059,4
H.R. 3033,32
H.R. 3004,0
H.R. 2928,3
H.R. 2908,14
H.R. 2835,18
H.R. 2820,22
H.R. 2814,0
H.R. 2733,2
H.R. 2726,298
H.R. 2722,283
H.R. 2693,11
H.R. 2620,5
H.R. 2617,0
H.R. 2615,76
H.R. 2607,26
H.R. 2576,16
H.R. 2559,35
H.R. 2499,6
H.R. 2496,0
H.R. 2494,113
H.R. 2458,5
H.R. 2353,1
H.R. 2297,9
H.R. 2270,19
H.R. 2262,12
H.R. 2252,5
H.R. 2250,0
H.R. 2212,1
H.R. 2146,5
H.R. 2137,5
H.R. 2131,6
H.R. 2051,3
H.R. 2048,27
H.R. 2029,0
H.R. 2028,0
H.R. 1884,26
H.R. 1831,1
H.R. 1762,4
H.R. 1755,0
H.R. 1690,4
H.R. 1670,45
H.R. 1626,8
H.R. 1624,235
H.R. 1531,16
H.R. 1527,7
H.R. 1493,8
H.R. 1475,309
H.R. 1442,26
H.R. 1428,3
H.R. 1350,26
H.R. 1326,26
H.R. 1321,37
H.R. 1314,2
H.R. 1295,2
H.R. 1213,1
H.R. 1191,23
H.R. 1150,116
H.R. 1138,0
H.R. 1132,50
H.R. 1092,11
H.R. 1075,8
H.R. 1020,9
H.R. 960,14
H.R. 907,13
H.R. 893,296
H.R. 891,35
H.R. 890,1
H.R. 876,3
H.R. 875,2
H.R. 845,86
H.R. 812,11
H.R. 774,39
H.R. 757,36
H.R. 728,7
H.R. 720,7
H.R. 719,4
H.R. 710,2
H.R. 651,1
H.R. 644,7
H.R. 639,3
H.R. 636,14
H.R. 623,4
H.R. 615,4
H.R. 606,25
H.R. 558,14
H.R. 533,3
H.R. 515,15
H.R. 487,0
H.R. 433,26
H.R. 431,303
H.R. 324,7
H.R. 323,7
H.R. 322,7
H.R. 313,33
H.R. 240,0
H.R. 212,6
H.R. 208,5
H.R. 203,39
H.R. 136,50
H.R. 91,82
H.R. 34,7
H.R. 33,15
H.R. 26,1
H.R. 23,7
H.R. 22,118
H.R. 2,13
H.J.Res. 78,0
H.J.Res. 76,0
H.J.Res. 10,2
S. 3492,1
S. 3395,1
S. 3283,1
S. 3207,1
S. 3183,8
S. 3084,3
S. 3076,1
S. 3055,1
S. 3028,1
S. 2974,1
S. 2971,7
S. 2943,0
S. 2893,1
S. 2873,16
S. 2854,16
S. 2845,2
S. 2840,19
S. 2755,24
S. 2754,1
S. 2683,3
S. 2577,17
S. 2512,11
S. 2487,23
S. 2426,30
S. 2425,10
S. 2393,9
S. 2328,3
S. 2276,5
S. 2234,73
S. 2162,4
S. 2152,23
S. 2143,0
S. 2133,5
S. 2109,2
S. 2082,1
S. 2078,0
S. 2040,25
S. 2036,1
S. 1915,19
S. 1890,65
S. 1878,3
S. 1826,2
S. 1808,7
S. 1707,2
S. 1698,5
S. 1638,1
S. 1635,0
S. 1632,18
S. 1629,1
S. 1596,1
S. 1580,6
S. 1579,11
S. 1568,2
S. 1555,71
S. 1550,2
S. 1523,2
S. 1492,0
S. 1482,2
S. 1461,7
S. 1362,7
S. 1359,1
S. 1356,3
S. 1300,21
S. 1252,15
S. 1180,1
S. 1177,0
S. 1172,1
S. 1170,25
S. 1124,0
S. 1115,2
S. 1090,5
S. 1004,7
S. 994,1
S. 986,1
S. 984,6
S. 971,4
S. 818,1
S. 817,1
S. 808,1
S. 802,5
S. 799,22
S. 795,1
S. 764,1
S. 719,1
S. 665,27
S. 614,2
S. 612,1
S. 611,19
S. 599,14
S. 565,3
S. 546,7
S. 535,7
S. 524,44
S. 501,1
S. 483,4
S. 337,5
S. 261,0
S. 246,26
S. 238,9
S. 230,1
S. 192,27
S. 184,2
S. 179,1
S. 178,34
S. 142,21
S. 139,15
S. 136,2
S. 125,24
S. 32,9
S. 8,1
H.R. 5859,1
H.R. 5860,0
H.R. 5861,0
H.R. 5862,48
H.R. 5863,3
H.R. 5864,4
H.R. 5865,50
H.R. 5866,6
H.R. 5867,51
H.R. 5868,5
H.R. 5869,82
H.R. 5870,1
H.R. 5871,51
H.R. 5872,4
H.R. 5873,37
H.R. 5874,1
H.R. 5875,1
H.R. 5876,52
H.R. 5877,19
H.R. 5878,8
H.R. 5879,1
H.R. 5880,1
H.R. 5881,26
H.R. 5882,1
H.R. 5883,8
H.R. 5884,26
H.R. 5885,52
H.R. 5886,7
H.R. 5887,8
H.R. 5888,14
H.R. 5889,21
H.R. 5890,4
H.R. 5891,0
H.R. 5892,6
H.R. 5893,0
H.R. 5894,0
H.R. 5895,35
H.R. 5896,86
H.R. 5897,1
H.R. 5898,27
H.R. 5899,8
H.R. 5900,10
H.R. 5901,11
H.R. 5902,17
H.R. 5903,0
H.R. 5904,6
H.R. 5905,1
H.R. 5906,35
